Name,Location,Website,Tuition,Acceptance Rate,Student-Faculty Ratio,Description,School Type,Largest Program
Clarkson University Capital Region Campus,"80 Nott Terrace, Schenectady, New York 12308",https://www.clarkson.edu/academics/graduate,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Private not-for-profit",-
Clinton Community College,"136 Clinton Point Dr., Plattsburgh, New York 12901",https://www.clinton.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"2-year, Public",-
"Clinton Community College, SUNY","Plattsburgh, NY",https://www.collegexpress.com/college/clinton-community-college-suny/3300980/details/,"$5,518",Information Unavailable,18:1,"Founded in 1969, Clinton Community College is a public two-year institution. Its 100-acre campus is located in Plattsburgh, NY.",Information Unavailable,Information Unavailable
Clinton Essex Warren Washington BOCES,"1585 Military Turnpike, Plattsburgh, New York 12901-0455",www.cves.org/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"< 2-year, Public",Licensed Practical/Vocational Nurse Training
Cochran School of Nursing,"967 North Broadway-Andrus Pavillion-Saint John's Riverside,  HOSP, Yonkers, New York 10701",www.cochranschoolofnursing.us/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"2-year, Private not-for-profit",-
Colgate Rochester Crozer Divinity School,"320 North Goodman St, Suite 207, Rochester, New York 14607",https://www.crcds.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Private not-for-profit",-
Colgate University,"Hamilton, NY",https://www.collegexpress.com/college/colgate-university/1100298/details/,"$59,655",27%,9:1,"Colgate University, founded in 1819, is a highly selective residential liberal arts institution. Its 550-acre campus is located in Hamilton, NY.","4-year, Private not-for-profit",-
College of Mount St. Vincent,"Bronx, NY",https://www.collegexpress.com/college/college-of-mount-st-vincent/1100328/details/,"$39,500",92%,13:1,"The College of Mount Saint Vincent is a co-educational, private, four-year college that provides an excellent liberal arts education in the Catholic tradition. Its 70-acre campus is located in the Riverdale section of the Bronx in New York City.",Information Unavailable,Information Unavailable
College of Staten Island CUNY,"2800 Victory Blvd, Staten Island, New York 10314",www.csi.cuny.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Public",-
Columbia University,"New York, NY",https://www.collegexpress.com/college/columbia-university/3000453/details/,"$58,920",6%,6:1,"Founded in 1754, Columbia University is a private coeducational institution. Its 36-acre campus is located in New York City.",Information Unavailable,Information Unavailable
Columbia University in the City of New York,"West 116 St and Broadway, New York, New York 10027",www.columbia.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Private not-for-profit",-
Columbia-Greene Community College,"4400 Route 23, Hudson, New York 12534",https://www.sunycgcc.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"2-year, Public",-
Columbia–Greene Community College,"Hudson, NY",https://www.collegexpress.com/college/columbia-greene-community-college/3300981/details/,"$4,968",Information Unavailable,Information Unavailable,"Columbia-Greene Community College, founded in 1966, is a public two-year institution. Its 144-acre campus is located in Hudson, NY.",Information Unavailable,Information Unavailable
Commercial Driver Training,"West Babylon, NY",https://www.collegexpress.com/college/commercial-driver-training/3101023/details/,Information Unavailable,Information Unavailable,Information Unavailable,"Commercial Driver Training, founded in 1961, is a private vocational school specializing in driver training for tractor trailers, trucks, and buses. Its two-acre campus is located in West Babylon, NY.",Information Unavailable,Information Unavailable
Congregation Talmidei Mesivta Tiferes Shmiel Aleksander,"1535 63rd Street, Brooklyn, New York 11219-5440",yeshivaaleksander.org/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Private not-for-profit",-
Continental School of Beauty Culture-Mattydale,"2803 Brewerton Road, Mattydale, New York 13211-1003",continentalschoolofbeauty.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"< 2-year, Private for-profit",Aesthetician/Esthetician and Skin Care Specialist
Continental School of Beauty Culture-Rochester,"633 Jefferson Rd, Rochester, New York 14623",continentalschoolofbeauty.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"< 2-year, Private for-profit",Aesthetician/Esthetician and Skin Care Specialist
Continental School of Beauty Culture-West Seneca,"1050 Union Rd, West Seneca, New York 14224",continentalschoolofbeauty.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"< 2-year, Private for-profit",Aesthetician/Esthetician and Skin Care Specialist
Cope Education for Business,"Brooklyn, NY",https://www.collegexpress.com/college/cope-education-for-business/3101024/details/,Information Unavailable,Information Unavailable,Information Unavailable,"Cope Institute, founded in 1977, is a private, coeducational, technical/professional institution. Its campus is located in Brooklyn.",Information Unavailable,Information Unavailable
Cornell University,"Ithaca, NY",https://www.collegexpress.com/college/cornell-university/1100516/details/,"$58,586",10%,9:1,"Cornell University, founded in 1865, is a private, not-for-profit, co-educational, nonsectarian institution of higher learning chartered and operated under Laws of the State of New York. Although a private institution, Cornell is also the land-grant institution for New York State. Its 745-acre campus is located in Ithaca, 52 miles from Syracuse.","4-year, Private not-for-profit",-
Cornell University Precollege Studies,"Ithaca, NY",https://www.collegexpress.com/college/cornell-university-precollege-studies/4001695/details/,Information Unavailable,Information Unavailable,Information Unavailable,"The mission of Cornell University Precollege Studies is to present the broadest possible range of high-quality learning opportunities to Cornell's many constituencies. The SCE draws on the resources of all of Cornell's academic units, identifying needs and developing programs that most appropriately and effectively deploy Cornell's vast and varied educational resources. Cornell faculty members are joined by leaders in industry, government, and the professions, along with distinguished scholars from other institutions, to present these programs throughout the year.",Information Unavailable,Information Unavailable
Culinary Institute of America,"1946 Campus Drive, Hyde Park, New York 12538-1499",www.ciachef.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, primarily associate's, Private not-for-profit",-
Culinary Tech Center,"303 Quarropas Street, White Plains, New York 10601",www.culinarytechcenter.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"< 2-year, Private for-profit","Cooking and Related Culinary Arts, General"
D'Youville  University,"320 Porter Ave, Buffalo, New York 14201-1084",www.dyu.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Private not-for-profit",-
D'Youville College,"Buffalo, NY",https://www.collegexpress.com/college/dyouville-college/1100691/details/,"$27,986",83%,10:1,"D'Youville College is a private college. Founded as a women's college in 1908, it adopted coeducation in 1971. Its 17-acre campus is located less than a mile from the center of downtown Buffalo.",Information Unavailable,Information Unavailable
Daemen University,"Amherst, NY",https://www.collegexpress.com/college/daemen-university/2100314/details/,"$29,700",61%,12:1,"Daemen University, founded in 1947, is a small, private, comprehensive institution with a mixture of liberal arts and career programs. Daemen offers bachelor's, master's, and clinical doctorate degrees as well as a post-secondary certificate and post-baccalaureate and post-master's certificates. Its 35-acre campus is located in Amherst, New York—a suburb of Buffalo","4-year, Private not-for-profit",-
Davis College,"Johnson City, NY",https://www.collegexpress.com/college/davis-college/3000278/details/,"$15,750",28%,Information Unavailable,"Davis College (formerly Practical Bible College), founded in 1900, is a private, faith-based, specialized school. Its 22-acre campus is located in Johnson City, NY, five miles from Binghamton and 70 miles from Syracuse.","4-year, Private not-for-profit",-
DeVry College of New York,"180 Madison Ave, Ste 1100, New York, New York 10016",https://www.devry.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Private for-profit",-
Delaware Chenango Madison Otsego BOCES-Practical Nursing Program,"6678 County Rd 32, Norwich, New York 13815-3554",www.dcmoboces.com/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"< 2-year, Public",Licensed Practical/Vocational Nurse Training
Derech Hachaim Seminary,"5 Israel Zupnik Drive, Monroe, New York 10950-6300",derechhachaimseminary.com/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"2-year, Private not-for-profit",-
Digital Film Academy,"630 9th Ave Ste 901, New York, New York 10036",www.digitalfilmacademy.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"2-year, Private for-profit","Web Page, Digital/Multimedia and Information Resources Design"
Dominican University New York,"470 Western Highway, Orangeburg, New York 10962-1210",www.duny.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Private not-for-profit",-
"Dominican University, New York","Orangeburg, NY",https://www.collegexpress.com/college/dominican-university-new-york/1100623/details/,"$29,860",74%,15:1,"Founded in 1952, Dominican University in New York is a private non-affiliated liberal arts college offering undergraduate and graduate programs. Its 70-acre campus is located in Rockland County, 17 miles north of New York City.",Information Unavailable,Information Unavailable
Downstate Health Sciences University,"Brooklyn, NY",https://www.collegexpress.com/college/downstate-health-sciences-university/3000064/details/,Information Unavailable,Information Unavailable,Information Unavailable,"SUNY Downstate Health Sciences University at Brooklyn, founded in 1858, is a public, upper-division institution. Its 13-acre campus is located in Brooklyn.",Information Unavailable,Information Unavailable
Dutchess BOCES-Practical Nursing Program,"5 BOCES Road, Poughkeepsie, New York 12601-6599",https://www.dcboces.org/cti/lpn,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"< 2-year, Public",Licensed Practical/Vocational Nurse Training
Dutchess Community College,"Poughkeepsie, NY",https://www.collegexpress.com/college/dutchess-community-college/3300984/details/,"$4,350",Information Unavailable,Information Unavailable,"Dutchess Community College, founded in 1957, is a public two-year institution. Its campus is located in Poughkeepsie, NY.","2-year, Public",-
Dutchess Community College South,"Wappingers Falls, NY",https://www.collegexpress.com/college/dutchess-community-college-south/3302591/details/,"$4,620",Information Unavailable,Information Unavailable,"Dutchess Community College South is a public two-year institution. Its campus is located in Wappingers Falls, NY.",Information Unavailable,Information Unavailable
EDP School,"1601 Voorhies Ave 2nd Floor, Brooklyn, New York 11235",edpschool.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"< 2-year, Private not-for-profit",Medical Office Assistant/Specialist
Eastern Suffolk BOCES,"375 Locust Avenue, Oakdale, New York 11769-1650",https://adulteducation.esboces.org/programs-services/cosmetology-program/about-cosmetology,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"< 2-year, Public","Cosmetology/Cosmetologist, General"
Eastern Suffolk BOCES,"970 North Griffing Avenue, Riverhead, New York 11901-2763",https://adulteducation.esboces.org/programs-services/cosmetology-program/about-cosmetology,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"< 2-year, Public","Cosmetology/Cosmetologist, General"
Eastern Suffolk BOCES,"30 Greene Avenue, Sayville, New York 11782",https://adulteducation.esboces.org/programs-services/eastern-suffolk-school-of-practical-nursing/nursing,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"< 2-year, Public",Licensed Practical/Vocational Nurse Training
Eastman School of Music,"Rochester, NY",https://www.collegexpress.com/college/eastman-school-of-music/4001723/details/,"$53,340",Information Unavailable,Information Unavailable,"Eastman School of Music, founded in 1921, is a private music conservatory within the University of Rochester. Its campus is located in Rochester, NY.",Information Unavailable,Information Unavailable
Electrical and HVAC/R Training Center,"65 Elm St., Copiague, New York 11726",https://www.electricaltrainingcenter.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"< 2-year, Private for-profit",Electrical and Electronics Engineering
Elim Bible Institute and College,"7245 College Street, Lima, New York 14485-9704",https://elim.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, primarily associate's, Private not-for-profit",-
Elmezzi Graduate School of Molecular Medicine,"350 Community Drive, Manhasset, New York 11030-3816",www.northwell.edu/education-and-resources/elmezzi-graduate-school-of-molecular-medicine,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Private not-for-profit",-
Elmira Business Institute,"Elmira, NY",https://www.collegexpress.com/college/elmira-business-institute/3101030/details/,"$21,850",Information Unavailable,Information Unavailable,"Elmira Business Institute, founded in 1858, is a private, coeducational, two-year institution. Its campus is located in Elmira, New York.",Information Unavailable,Information Unavailable
Elmira College,"Elmira, NY",https://www.collegexpress.com/college/elmira-college/2100318/details/,"$34,578",83%,Information Unavailable,"Elmira College, steeped in tradition, is a private, residential, co-educational liberal arts college that emphasizes both general and professional education.  Founded as a women's college in 1855, it adopted coeducation in 1969. Its 55-acre campus is located in a residential area of Elmira, NY.","4-year, Private not-for-profit",-
Elyon College,"1400 West 6th Street, Brooklyn, New York 11204-4801",elyon.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"2-year, Private not-for-profit",-
Empire Beauty School (New York),"Brooklyn, NY",https://www.collegexpress.com/college/empire-beauty-school-new-york/5000981/details/,Information Unavailable,Information Unavailable,Information Unavailable,Empire Beauty Schools offer cosmetology programs at 96 locations across 20 states. Other programs such as nail technology and esthetics are available at select locations.,Information Unavailable,Information Unavailable
Empire Beauty School-Brooklyn,"2384 86th St, Brooklyn, New York 11214",www.empire.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"< 2-year, Private for-profit","Cosmetology/Cosmetologist, General"
Empire Beauty School-Buffalo,"2190 Walden Avenue, Cheektowaga, New York 14225-5177",www.empire.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"< 2-year, Private for-profit","Cosmetology/Cosmetologist, General"
Empire Beauty School-Manhattan,"22 W 34th St, New York, New York 10001",www.empire.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"< 2-year, Private for-profit","Cosmetology/Cosmetologist, General"
Empire Beauty School-Peekskill,"19 Bank St, Peekskill, New York 10566",www.empire.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"< 2-year, Private for-profit","Cosmetology/Cosmetologist, General"
Empire Beauty School-Queens,"38-15 Broadway, Astoria, New York 11103",www.empire.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"< 2-year, Private for-profit","Cosmetology/Cosmetologist, General"
Empire Beauty School-Rochester,"340 Elmridge Center Drive, Rochester, New York 14626-3461",www.empire.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"< 2-year, Private for-profit","Cosmetology/Cosmetologist, General"
Empire State University,"Two Union Ave, Saratoga Springs, New York 12866-4391",www.sunyempire.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Public",-
Erie 1 BOCES,"355 Harlem Rd, West Seneca, New York 14224",e1b.org/WFD,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"< 2-year, Public",Licensed Practical/Vocational Nurse Training
Erie 2 Chautauqua Cattaraugus BOCES-Practical Nursing Program,"8685 Erie Rd, Angola, New York 14006",www.e2ccb.org/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"< 2-year, Public",Licensed Practical/Vocational Nurse Training
Erie Community College,"121 Ellicott St, Buffalo, New York 14203-2698",www.ecc.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"2-year, Public",-
Erie Community College—City Campus,"Buffalo, NY",https://www.collegexpress.com/college/erie-community-college-city-campus/3300958/details/,"$5,047",Information Unavailable,15:1,"Founded in 1971, Erie Community College—City Campus is a public two-year liberal arts college. Its campus is located in Buffalo, New York.",Information Unavailable,Information Unavailable
Erie Community College—North Campus,"Williamsville, NY",https://www.collegexpress.com/college/erie-community-college-north-campus/3300956/details/,"$4,900",74%,16:1,"Founded in 1946, Erie Community College—North Campus is a public two-year liberal arts college. Its 120-acre campus is located in Williamsville, New York.",Information Unavailable,Information Unavailable
Erie Community College—South Campus,"Orchard Park, NY",https://www.collegexpress.com/college/erie-community-college-south-campus/3300957/details/,"$4,900",84%,13:1,"Founded in 1974, Erie Community College—South Campus is a public two-year institution. Its campus is located in Orchard Park, NY.",Information Unavailable,Information Unavailable
Eugene Lang College of Liberal Arts at The New School,"New York, NY",https://www.collegexpress.com/college/eugene-lang-college-of-liberal-arts-at-the-new-school/1100772/details/,"$50,406",69%,11:1,"Founded in 1985, Eugene Lang College of Liberal Arts at The New School is a private coeducational institution. Its five-acre, urban campus is located in the Greenwich Village area of New York City",Information Unavailable,Information Unavailable
Excelsior College,"Albany, NY",https://www.collegexpress.com/college/excelsior-college/3000168/details/,Information Unavailable,Information Unavailable,Information Unavailable,"Founded in 1971, Excelsior College provides innovative and rigorous distance learning academic programs to adult learners. Accredited by Middle States, Excelsior offers 58 undergraduate and 3 graduate degree. Excelsior serves over 30,000 enrolled students in both its assessment and instruction based programs.",Information Unavailable,Information Unavailable
Excelsior University,"7 Columbia Cir, Albany, New York 12203-5159",www.excelsior.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Private not-for-profit",-
Farmingdale State College,"Farmingdale, NY",https://www.collegexpress.com/college/farmingdale-state-college/1101080/details/,"$7,070",60%,19:1,"Farmingdale State College, founded in 1912, is a public college of technology and applied sciences. Its 380-acre campus is located in Farmingdale on Long Island, 35 miles from New York City.","4-year, Public",-
Fashion Institute of Technology,"New York, NY",https://www.collegexpress.com/college/fashion-institute-of-technology/1100515/details/,"$5,290",58%,16:1,"The Fashion Institute of Technology, founded in 1944, is a school of art and design and business and technology. It is a public institution, receiving its principal financial support from the State and City of New York. Its five-acre campus is located in midtown Manhattan, near the center of New York's fashion industry.","4-year, primarily associate's, Public",-
Finger Lakes Community College,"Canandaigua, NY",https://www.collegexpress.com/college/finger-lakes-community-college/3300982/details/,"$4,864",Information Unavailable,Information Unavailable,"Finger Lakes Community College, founded in 1965, is a public, coeducational, two-year institution. Its campus is located in Canandaigua, NY.","2-year, Public",-
Finger Lakes Health College of Nursing & Health Sciences,"196 North Street, Geneva, New York 14456-1651",https://www.flhcon.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"2-year, Private not-for-profit",-
Five Towns College,"Dix Hills, NY",https://www.collegexpress.com/college/five-towns-college/3000000/details/,"$24,900",47%,Information Unavailable,"Five Town College, founded in 1972, is a private coeducational institution. Its 35-acre campus is located in Dix Hills, 25 miles from New York City.","4-year, Private for-profit",-
Focus Personal Training Institute,"115 West 27th Street, 11th Floor, New York, New York 10001-6217",www.fpti.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"< 2-year, Private for-profit",Physical Fitness Technician
Fordham University,"Bronx, NY",https://www.collegexpress.com/college/fordham-university/1100929/details/,"$54,730",52%,15:1,"Fordham University is the Jesuit University of New York.  Founded in 1841, our  85-acre Rose Hill campus is located in the Bronx, adjacent to the Botanical Gardens and Bronx Zoo. Our eight-acre Lincoln Center campus is located in Manhattan, right next to the Lincoln Center arts complex.","4-year, Private not-for-profit",-
Fulton-Montgomery Community College,"2805 State Hwy 67, Johnstown, New York 12095-3790",www.fmcc.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"2-year, Public",-
Fulton–Montgomery Community College,"Johnstown, NY",https://www.collegexpress.com/college/fulton-montgomery-community-college/3300959/details/,"$5,040",Information Unavailable,Information Unavailable,"Founded in 1963, Fulton-Montgomery Community College,  is a public two-year coeducational institution. Its campus is located in Johnstown, NY.",Information Unavailable,Information Unavailable
Gemological Institute of America New York,"New York, NY",https://www.collegexpress.com/college/gemological-institute-of-america-new-york/3101034/details/,Information Unavailable,Information Unavailable,Information Unavailable,"Gemological Institute of America, founded in 1931, is a private two-year professional institution. Its campus is located in New York, NY.",Information Unavailable,Information Unavailable
Gemological Institute of America-New York,"50 West 47th Street, 8th Floor, New York, New York 10036",www.gia.edu/gem-education,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"< 2-year, Private not-for-profit",Jewelry Arts
Genesee Community College,"Batavia, NY",https://www.collegexpress.com/college/genesee-community-college/3300986/details/,"$4,550",Information Unavailable,Information Unavailable,"Genesee Community College, founded in 1966, is a public, two-year, liberal arts institution. Its 250-acre campus is located in Batavia, NY.","2-year, Public",-
Genesee Valley BOCES-Practical Nursing Program,"Adult Education Office  8250 State St Rd, Batavia, New York 14020",www.gvboces.org/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"< 2-year, Public",Licensed Practical/Vocational Nurse Training
Glasgow Caledonian New York College,"64 Wooster Street, New York, New York 10012",www.gcnyc.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Private not-for-profit",-
Grace International Beauty School,"136-31 41st Avenue, #6FL, Flushing, New York 11355-2446",www.gibs.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"< 2-year, Private for-profit","Cosmetology/Cosmetologist, General"
Guttman Community College,"New York, NY",https://www.collegexpress.com/college/guttman-community-college/200000060/details/,"$4,800",Information Unavailable,15:1,Guttman Community College is a public liberal arts community college in New York City. It's the newest of the City University of New York (CUNY) school system community colleges and was founded in September of 2012.,Information Unavailable,Information Unavailable
HJ International Graduate School for Peace and Public Leadership,"4 West 43rd Street, New York, New York 10036",https://www.uts.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Private not-for-profit",-
Hamilton College,"Clinton, NY",https://www.collegexpress.com/college/hamilton-college/2100323/details/,"$57,930",18%,9:1,"Hamilton College is a private, liberal arts college. Founded in 1812, it adopted coeducation in 1978. Its 1,300-acre campus is located in Clinton, nine miles from Utica.","4-year, Private not-for-profit",-
Harlem School of Technology,"New York, NY",https://www.collegexpress.com/college/harlem-school-of-technology/3303571/details/,Information Unavailable,Information Unavailable,Information Unavailable,"Harlem School of Technology is a private, two-year technical institution. Its campus is located in New York, NY.",Information Unavailable,Information Unavailable
Hartwick College,"Oneonta, NY",https://www.collegexpress.com/college/hartwick-college/1100524/details/,"$47,370",93%,10:1,"Hartwick College, founded in 1797, is a private liberal arts and sciences college. The 425-acre campus is located in Oneonta, New York.","4-year, Private not-for-profit",-
Hebrew Union College-Jewish Institute of Religion,"One W 4th St, New York, New York 10012-1186",www.huc.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Private not-for-profit",-
Helene Fuld College of Nursing,"New York, NY",https://www.collegexpress.com/college/helene-fuld-college-of-nursing/3302594/details/,Information Unavailable,Information Unavailable,Information Unavailable,"Helen Fuld College of Nursing, founded in 1945, is a private, specialized institution. Its campus is located in New York.","4-year, primarily associate's, Private not-for-profit",-
Herkimer County BOCES-Practical Nursing Program,"420 East German Sterr, Herkimer, New York 13350",https://www.herkimer-boces.org/page/adult-practical-nursing,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"< 2-year, Public",Licensed Practical/Vocational Nurse Training
Herkimer County Community College,"Herkimer, NY",https://www.collegexpress.com/college/herkimer-county-community-college/3300987/details/,"$5,016",Information Unavailable,Information Unavailable,"Herkimer County Community College, founded in 1967, is a public two-year institution. Its 500-acre campus is located in Herkimer, NY.","2-year, Public",-
Hilbert College,"Hamburg, NY",https://www.collegexpress.com/college/hilbert-college/3000088/details/,"$23,495",91%,12:1,"Hilbert College is a private, Catholic, Franciscan college. Founded in 1957, it adopted coeducation in 1969. Its 49-acre campus is located in the town of Hamburg, 10 miles from Buffalo.","4-year, Private not-for-profit",-
Hobart William Smith Colleges,"337 Pulteney Street, Geneva, New York 14456",www.hws.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Private not-for-profit",-
Hobart and William Smith Colleges,"Geneva, NY",https://www.collegexpress.com/college/hobart-and-william-smith-colleges/2100326/details/,"$57,400",61%,10:1,"Hobart College, founded in 1822, is a private liberal arts college for men. Coordinate college, William Smith, founded in 1908, is a private liberal arts college for women. Its 200-acre combined campus is located in Geneva.",Information Unavailable,Information Unavailable
Hofstra University,"Hempstead, NY",https://www.collegexpress.com/college/hofstra-university/2100327/details/,"$48,315",69%,13:1,"Hofstra University, founded in 1935, is a private university. Its 240-acre campus is located in Hempstead, 25 miles east of New York City.","4-year, Private not-for-profit",-
Hostos Community College,"Bronx, NY",https://www.collegexpress.com/college/hostos-community-college/3301622/details/,"$4,800",Information Unavailable,Information Unavailable,"Hostos Community College, founded in 1968, is a public, specialized, coeducational institution. Its campus is located in Bronx, NY.",Information Unavailable,Information Unavailable
Houghton University,"Houghton, NY",https://www.collegexpress.com/college/houghton-university/2100351/details/,"$33,920",79%,12:1,"Founded in 1883, Houghton University is a private coeducational Christian institution of the liberal arts and sciences. Its 1,300-acre campus is located in Houghton, NY, 60 miles from Buffalo and 70 miles from Rochester.","4-year, Private not-for-profit",-
Hudson Valley Community College,"Troy, NY",https://www.collegexpress.com/college/hudson-valley-community-college/3300988/details/,"$4,800",Information Unavailable,19:1,"Hudson Valley Community College, founded in 1953, is a public two-year institution. Its 154-acre campus is located in Troy, NY.","2-year, Public",-
Hunter Business School,"Levittown, NY",https://www.collegexpress.com/college/hunter-business-school/3101037/details/,Information Unavailable,Information Unavailable,Information Unavailable,"Hunter Business School is a private, two-year, professional institution. Its campus is located in Levittown, NY.","2-year, Private for-profit",Medical/Clinical Assistant
"Hunter College, CUNY","New York, NY",https://www.collegexpress.com/college/hunter-college-cuny/1100566/details/,"$6,930",40%,14:1,"Founded in 1870, Hunter College is a public institution and part of the City University of New York system. Its three-block campus is located in New York City.",Information Unavailable,Information Unavailable
Icahn School of Medicine at Mount Sinai,"One Gustave L Levy Place, Box 1217, New York, New York 10029-6574",icahn.mssm.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Private not-for-profit",-
Institute of Culinary Education,"225 Liberty Street, New York, New York 10281",https://www.ice.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"< 2-year, Private for-profit",Culinary Arts/Chef Training
Iona University,"New Rochelle, NY",https://www.collegexpress.com/college/iona-university/2100348/details/,"$39,380",85%,16:1,"Iona University is a coeducational Roman Catholic liberal arts institution founded in 1940 in the tradition of the Christian Brothers. Programs are offered through the Schools of Arts and Sciences and Business. Its 45-acre campus is located in New Rochelle on Long Island Sound, 16 miles from New York City.","4-year, Private not-for-profit",-
Isabella Graham Hart School of Practical Nursing,"470 Skyview Centre Pkwy, Rochester, New York 14622",www.rochesterregional.org/for-healthcare-professionals/residency-training-programs/igh-school-of-practical-nursing/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"< 2-year, Private not-for-profit",Licensed Practical/Vocational Nurse Training
Island Drafting & Technical Institute,"Amityville, NY",https://www.collegexpress.com/college/island-drafting-technical-institute/3101040/details/,"$16,500",Information Unavailable,Information Unavailable,"Island Drafting and Technical Institute, founded in 1957, is a private, technical institute specializing in computer aided drafting/design technology. Its campus is located in Amityville, New York.",Information Unavailable,Information Unavailable
Island Drafting and Technical Institute,"128 Broadway Rte 110, Amityville, New York 11701-2704",https://www.idti.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"2-year, Private for-profit",-
Ithaca College,"Ithaca, NY",https://www.collegexpress.com/college/ithaca-college/1100770/details/,"$46,610",75%,10:1,"Founded in 1892, Ithaca College is a private liberal arts college with programs offered through the Schools of Business, Communications, Health Sciences & Human Performance, Humanities & Sciences, and Music. Its 670-contiguous-acre campus is located in Ithaca, New York—50 miles south of Syracuse.","4-year, Private not-for-profit",-
Jamestown Business College,"Jamestown, NY",https://www.collegexpress.com/college/jamestown-business-college/3101041/details/,"$11,700",97%,Information Unavailable,"Jamestown Business College, founded in 1886, is a private two-year institution. Its campus is located in Jamestown, NY.","4-year, primarily associate's, Private for-profit",-
Jamestown Business College -,"25 Center Street, Salamanca, New York 14779-9740",www.jbc.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Private for-profit",-
Jamestown Community College,"Jamestown, NY",https://www.collegexpress.com/college/jamestown-community-college/3300989/details/,"$4,870",99%,17:1,"Founded in 1950, Jamestown Community College is a public, two-year college. The main campus is located on a 107-acre site at the foot of Chautauqua Lake in Jamestown, NY. JCC has a branch campus in Olean, NY and extension centers in Dunkirk, NY and Warren, PA. Jamestown Community College is part of the State University of New York (SUNY) system.","2-year, Public",-
