Name,Website,Location,Tuition,Acceptance Rate,Student-Faculty Ratio,Description,School Type,Largest Program
Mercy University,https://www.collegexpress.com/college/mercy-university/1100259/details/,"Dobbs Ferry, NY","$22,106",85%,15:1,"Since 1950, Mercy University has been on a mission, bringing education to students in new ways, and making it our business to empower generations of learners. We help students break new ground, achieve forward momentum and create lasting impact that ripples beyond themselves, to their families and communities.","4-year, Private not-for-profit",-
Metropolitan College of New York,https://www.collegexpress.com/college/metropolitan-college-of-new-york/3000062/details/,"New York, NY","$19,338",40%,11:1,"Founded in 1964, Metropolitan College of New York is a private non-profit college offering business, education, human services, urban studies, and public affairs programs. Its campus is located in Manhattan.","4-year, Private not-for-profit",-
Mildred Elley (New York),https://www.collegexpress.com/college/mildred-elley-new-york/3303516/details/,"Albany, NY","$12,144",,,"Mildred Elley is a private, coeducational institution. Its campus is located in Albany, New York.",,
Modern Welding School,https://www.collegexpress.com/college/modern-welding-school/3101050/details/,"Schenectady, NY",,,,"Modern Welding School, founded in 1936, is a private, two-year, technical institution. Its 1-acre campus is located in Schenectady, NY.","< 2-year, Private for-profit",Welding Technology/Welder
Mohawk Valley Community College,https://www.collegexpress.com/college/mohawk-valley-community-college/3300991/details/,"Utica, NY","$4,594",,18:1,"Mohawk Valley Community College, founded in 1946, is New York State's oldest community college.  MVCC is one of 30 public community colleges in the State University of New York system.  The main 80-acre campus is located in Utica; a branch campus is located in nearby Rome, NY.","2-year, Public",-
Molloy University,https://www.collegexpress.com/college/molloy-university/1100299/details/,"Rockville Centre, NY","$31,330",74%,10:1,"Molloy University, founded in 1955, is a private, church-affiliated, liberal arts college. Its 30-acre campus is located in Rockville Centre, 25 miles east of New York City.",,
Monroe College — New Rochelle Campus,https://www.collegexpress.com/college/monroe-college-new-rochelle-campus/5008905/details/,"New Rochelle, NY","$14,760",,,"Monroe College -- New Rochelle Campus is a public, coeducational institution. Its campus is located in New Rochelle, New York.",,
Monroe College,https://www.collegexpress.com/college/monroe-college/5008891/details/,"Bronx, NY","$14,976",,,"Monroe College, founded in 1933, is a private institution. Its campus is located in the Bronx, NY.","4-year, Private for-profit",-
Monroe Community College,https://www.collegexpress.com/college/monroe-community-college/3302955/details/,"Rochester, NY","$4,706",,,"Monroe Community College, founded in 1961, is a public, two-year institution. Its three-acre campus is located in Rochester, New York.","2-year, Public",-
Mount Saint Mary College,https://www.collegexpress.com/college/mount-saint-mary-college/1100326/details/,"Newburgh, NY","$33,126",90%,14:1,"Mount Saint Mary College is a private liberal arts college. Founded in 1959, it adopted coeducation in 1968. Its 86-acre campus is located in Newburgh, 58 miles north of New York City.","4-year, Private not-for-profit",-
Music Conservatory of Westchester,https://www.collegexpress.com/college/music-conservatory-of-westchester/3302624/details/,"White Plains, NY",,,,"Music Conservatory of Westchester, founded in 1929, is a private two-year institution. Its campus is located in White Plains, NY.",,
Nassau Community College,https://www.collegexpress.com/college/nassau-community-college/3300993/details/,"Garden City, NY","$5,800",,,"Nassau Community College, founded in 1960, is a public, two-year, liberal arts institution. Its 225-acre campus is located in Garden City, NY.","2-year, Public",-
National Tractor Trailer School — Buffalo,https://www.collegexpress.com/college/national-tractor-trailer-school-buffalo/3101051/details/,"Buffalo, NY",,,,"National Tractor Trailer School, founded in 1989, is a private, two-year, technical institution. Its 11-acre campus is located in Buffalo, NY.",,
National Tractor Trailer School — Liverpool,https://www.collegexpress.com/college/national-tractor-trailer-school-liverpool/3101052/details/,"Liverpool, NY",,,,"National Tractor Trailer School, founded in 1971, is a private, two-year, technical institution. Its seven-acre campus is located in Liverpool, NY.",,
Nazareth College,https://www.collegexpress.com/college/nazareth-college/1100335/details/,"Rochester, NY","$34,850",75%,10:1,"Nazareth College, founded in 1924, is a coeducational college with undergraduate and graduate studies in liberal arts and sciences and professional programs in health and human services, education, and management. Its 150-acre campus is located in Rochester, New York.",,
New York City College of Technology,https://www.collegexpress.com/college/new-york-city-college-of-technology/1100565/details/,"Brooklyn, NY","$6,930",79%,15:1,"Founded in 1946, New York City College of Technology is a public specialized tech institution in the City University of New York school system. Its campus is located in Brooklyn.",,
New York Film Academy,https://www.collegexpress.com/college/new-york-film-academy/5001149/details/,"New York, NY",,,,"New York Film Academy, founded in 1992, is a two-year specialized institution. Its campus is located in New York, NY. The school has two other campuses in Los Angeles and South Beach, Florida. The Los Angeles campus offers additional Bachelor's and Master's programs.",,
New York Institute of Technology,https://www.collegexpress.com/college/new-york-institute-of-technology/1100807/details/,"Old Westbury, NY","$38,060",74%,12:1,"New York Institute of Technology, founded in 1955, is a private, non-profit institution with campuses on Long Island in Old Westbury, NY; in Manhattan; Jonesboro, Arkansas; Abu Dhabi, the United Arab Emirates; Vancouver, Canada; and China.","4-year, Private not-for-profit",-
New York Paralegal School,https://www.collegexpress.com/college/new-york-paralegal-school/3303104/details/,"New York, NY",,,,"New York Paralegal School is a private specialized institution. Its campus is located in New York, NY.",,
New York School for Medical and Dental Assistants,https://www.collegexpress.com/college/new-york-school-for-medical-and-dental-assistants/3101057/details/,"Long Island City, Queens, NY",,,,"New York School for Medical and Dental Assistants, founded in 1966, is a private, specialized, coeducational, technical/professional institution. Its campus is located in Long Island City, Queens, New York.","2-year, Private for-profit",Medical/Clinical Assistant
New York School of Interior Design,https://www.collegexpress.com/college/new-york-school-of-interior-design/3000314/details/,"New York, NY","$25,440",67%,,"The New York School of Interior Design, founded in 1916, is a private, primarily specialized institute. Its campus is located on Manhattan's upper east side in New York City.","4-year, Private not-for-profit",-
New York University,https://www.collegexpress.com/college/new-york-university/2100345/details/,"New York, NY","$52,204",21%,9:1,"Founded in 1831, New York University is one of the largest private universities in the United States. Programs are offered through 18 schools and colleges at five major centers in Manhattan and in sites in Africa, Asia, Europe, and South America. The faculty's research and teaching encompass the humanities, sciences, and social sciences; law; medicine; business; education; fine arts, studio art, and performing and cinematic arts; music; social work; public administration; the ancient world; and continuing and professional studies. NYU's main campus is located in the heart of Greenwich Village in New York City, with an additional location in Brooklyn.","4-year, Private not-for-profit",-
Niagara County Community College,https://www.collegexpress.com/college/niagara-county-community-college/3300994/details/,"Sanborn, NY","$4,752",,,"Niagara County Community College, founded in 1962, is a public two-year institution. Its 287-acre campus is located in Sanborn, NY.","2-year, Public",-
Niagara University,https://www.collegexpress.com/college/niagara-university/2800142/details/,"Niagara University, NY","$33,700",92%,11:1,"Niagara University, founded by the Vincentian community in 1856, is a comprehensive institution, blending the best of a liberal arts and professional education, grounded in a values-based, Catholic tradition. Its 160-acre campus is located four miles from Niagara Falls, 20 minutes from Buffalo, and 90 minutes from Toronto.","4-year, Private not-for-profit",-
North Country Community College,https://www.collegexpress.com/college/north-country-community-college/3300995/details/,"Saranac Lake, NY","$5,280",,,"North Country Community College, founded in 1967, is a public, coeducational, two-year institution. Its 70-acre campus is located in Saranac Lake, seven miles from Lake Placid and 40 miles from Plattsburgh.","2-year, Public",-
North Country Community College—Ticonderoga Campus,https://www.collegexpress.com/college/north-country-community-college-ticonderoga-campus/3300964/details/,"Ticonderoga, NY","$7,078",,,"North Country Community College is a public two-year institution. Its branch campus is in Ticonderoga, New York, and the main campus is in Saranac Lake.",,
Onondaga Community College,https://www.collegexpress.com/college/onondaga-community-college/3300965/details/,"Syracuse, NY","$5,090",,,"Onondaga Community College, founded in 1962, is a public college. Its 230-acre campus is located in Syracuse.","2-year, Public",-
Orange County Community College,https://www.collegexpress.com/college/orange-county-community-college/3300996/details/,"Middletown, NY","$5,376",,,"Orange County Community College, founded in 1950, is a public, two-year, liberal arts institution. Its 37-acre campus is located in Middletown, NY.","2-year, Public",-
Pace University,https://www.collegexpress.com/college/pace-university/1100090/details/,"New York, NY","$49,550",82%,14:1,"Pace University, founded in 1906, is a private, comprehensive university. Its three-acre urban campus is located in New York City and its 200-acre suburban campus is located in Pleasantville-Briarcliff, 20 miles from New York City.","4-year, Private not-for-profit",-
Pace University—Westchester,https://www.collegexpress.com/college/pace-university-westchester/200000054/details/,"Pleasantville, NY","$49,550",85%,14:1,"Founded in 1906, Pace University is a private comprehensive university. Its three-acre urban campus is located in New York City and its 200-acre suburban campus is located in Pleasantville-Briarcliff, 20 miles from New York City.",,
Parsons School of Design at The New School,https://www.collegexpress.com/college/parsons-school-of-design-at-the-new-school/1100100/details/,"New York, NY","$50,460",46%,10:1,"Founded in 1896 and affiliated with The New School in 1970, Parsons School of Design is a private coeducational school of the arts. Its campus is located in New York City.",,
Paul Smith's College,https://www.collegexpress.com/college/paul-smiths-college/3000445/details/,"Paul Smiths, NY","$30,160",67%,12:1,"Paul Smith's College, founded in 1937, is a private, specialized institution. Its 14,200-acre wilderness campus is located in Paul Smith's, New York.",,
Plaza College,https://www.collegexpress.com/college/plaza-college/3101065/details/,"Forest Hills, NY","$12,000",30%,28:1,"Plaza College, founded in 1916, is a private two-year institution. Its campus is located in Forest Hills, NY.","4-year, primarily associate's, Private for-profit",-
Pratt Institute,https://www.collegexpress.com/college/pratt-institute/1100158/details/,"Brooklyn, NY","$51,754",65%,9:1,"Pratt Institute, founded in 1887, is a private, multipurpose institute. Programs are offered through the Schools of Architecture and Art and Design. Its 25-acre campus is located in Brooklyn.",,
PrattMWP College of Art and Design,https://www.collegexpress.com/college/prattmwp-college-of-art-and-design/3302617/details/,"Utica, NY","$32,210",,10:1,"Pratt at Munson Williams Proctor Arts Institute, founded in 1919, is a small art college offering the first two years of a bachelor's degree with the last two years at the Pratt Institute in Brooklyn, NY. Its campus is located in Utica, NY.",,
Purchase College,https://www.collegexpress.com/college/purchase-college/1100161/details/,"Purchase, NY","$7,070",73%,14:1,"Purchase College, SUNY, founded in 1967, is a public college and part of the State University of New York system. Located 25 miles north of Manhattan in Westchester County, the campus sits on a 500-plus acre estate and offers programs in the School of the Arts, the School of Liberal Arts and Sciences, and the School of Liberal Studies and Continuing Education.",,
"Queens College, CUNY",https://www.collegexpress.com/college/queens-college-cuny/1100946/details/,"Queens, NY","$6,930",53%,16:1,"Founded in 1937, Queens College is a public coeducational liberal arts institution in the City University of New York school system. Its 80-acre campus is located in the Flushing section of Queens in New York.",,
Queensborough Community College,https://www.collegexpress.com/college/queensborough-community-college/3300977/details/,"Bayside, NY","$4,800",,19:1,"Queensborough Community College, founded in 1959, is a public two-year institution. Its 34-acre campus is located in Bayside, NY.",,
Rensselaer Polytechnic Institute,https://www.collegexpress.com/college/rensselaer-polytechnic-institute/1100089/details/,"Troy, NY","$55,600",57%,12:1,"Rensselaer Polytechnic Institute, founded in 1824, is a private, technical institution. Programs are offered through the Schools of Architecture, Engineering, Humanities Arts &amp; Social Sciences, Management, and Science. Its 260-acre campus is located in Troy, 15 miles from Albany.","4-year, Private not-for-profit",-
Roberts Wesleyan College,https://www.collegexpress.com/college/roberts-wesleyan-college/1100145/details/,"Rochester, NY","$32,322",75%,11:1,"Founded in 1866, Roberts Wesleyan College is a private Christian liberal arts college. Its 188-acre campus is located eight miles from downtown Rochester.",,
Rochester Institute of Technology,https://www.collegexpress.com/college/rochester-institute-of-technology/1100157/details/,"Rochester, NY","$50,564",73%,13:1,"Rochester Institute of Technology, founded in 1829, is a private, coeducational institution. Its 1,300-acre campus is located in Rochester, 75 miles from Buffalo and 97 miles from Syracuse, with branch campuses abroad in China, Croatia, Dubai, and Kosovo.","4-year, Private not-for-profit",-
Rockland Community College,https://www.collegexpress.com/college/rockland-community-college/3300997/details/,"Suffern, NY","$5,110",,,"Rockland Community College, founded in 1959, is a public two-year institution. Its 120-acre campus is located in Suffern, NY.","2-year, Public",-
Russell Sage College,https://www.collegexpress.com/college/russell-sage-college/1100208/details/,"Troy, NY","$31,450",74%,11:1,"Russell Sage College (formerly The Sage Colleges), is a four-year college  specializing in the arts and sciences and professional fields of study with two campuses in Troy and Albany, NY. Both campuses offer both undergraduate and graduate degree programs and courses.","4-year, Private not-for-profit",-
SAGE Truck Driving School — New York,https://www.collegexpress.com/college/sage-truck-driving-school-new-york/3303649/details/,"Endicott, NY",,,,,,
SAGE Truck Driving School — Rome,https://www.collegexpress.com/college/sage-truck-driving-school-rome/3303727/details/,"Rome, NY",,,,,,
Samaritan Hospital School of Nursing,https://www.collegexpress.com/college/samaritan-hospital-school-of-nursing/3302923/details/,"Troy, NY","$11,456",100%,,"Samaritan Hospital School of Nursing, founded in 1898, is a private two-year institution.","2-year, Private not-for-profit",-
Sarah Lawrence College,https://www.collegexpress.com/college/sarah-lawrence-college/1100082/details/,"Bronxville, NY","$56,020",54%,9:1,"Sarah Lawrence College, founded in 1926, is a private, coeducational, liberal arts college. Its campus is located in Bronxville, New York.","4-year, Private not-for-profit",-
Schenectady County Community College,https://www.collegexpress.com/college/schenectady-county-community-college/3300998/details/,"Schenectady, NY","$4,608",,,"Schenectady County Community College, founded in 1968, is a public two-year institution. Its 50-acre campus is located in Schenectady, NY.","2-year, Public",-
School of Visual Arts,https://www.collegexpress.com/college/school-of-visual-arts/1100245/details/,"New York, NY","$45,000",71%,8:1,"The School of Visual Arts, founded in 1947, is a private school of art. Its campus of 18 buildings is located in lower Manhattan.","4-year, Private for-profit",-
Siena College,https://www.collegexpress.com/college/siena-college/1100096/details/,"Loudonville, NY","$39,200",80%,12:1,"Siena College, founded in 1937, is an independent, liberal arts college with a Franciscan and Catholic tradition. Programs are offered through the Schools of Liberal Arts, Business, and Science.  Its 175-acre campus is located in Loudonville, 15-miles north of Albany.","4-year, Private not-for-profit",-
Skidmore College,https://www.collegexpress.com/college/skidmore-college/1100099/details/,"Saratoga Springs, NY","$57,066",32%,8:1,"Skidmore College is a private, liberal arts college. Founded in 1903, it adopted coeducation in 1971. Its 890-acre campus is located in Saratoga Springs, 30 miles from Albany.","4-year, Private not-for-profit",-
Spanish–American Institute,https://www.collegexpress.com/college/spanish-american-institute/3101079/details/,"New York, NY",,,,"Spanish-American Institute, founded in 1955, is a private two-year institution. Its campus is located in New York, NY.",,
St. Bonaventure University,https://www.collegexpress.com/college/st-bonaventure-university/1100041/details/,"St. Bonaventure, NY","$35,450",76%,12:1,"St. Bonaventure University, founded in 1858, is a private, coeducational  institution. Its 600-acre campus is located in Olean, 75 miles from Buffalo.",,
St. Francis College,https://www.collegexpress.com/college/st-francis-college/1100046/details/,"Brooklyn Heights, NY","$26,688",84%,,"St. Francis College is a private, church-affiliated, liberal arts college. Founded in 1884 with the purpose of providing higher education for students with limited economic resources, it adopted coeducation in 1969. Its urban campus is located in Brooklyn Heights.","4-year, Private not-for-profit",-
St. John Fisher College,https://www.collegexpress.com/college/st-john-fisher-college/1100051/details/,"Rochester, NY","$34,340",68%,11:1,"St. John Fisher College is a coeducational liberal arts college located in Pittsford, New York. Its 154-acre campus is located in Rochester.",,
St. John's University,https://www.collegexpress.com/college/st-johns-university/1100054/details/,"Queens, NY","$43,160",75%,17:1,"St. John's University, founded in 1870, is a private, Roman Catholic university. Its 102-acre main campus is located in the Jamaica section of Queens in New York City.",,
St. Joseph's University—Brooklyn,https://www.collegexpress.com/college/st-josephs-university-brooklyn/1100060/details/,"Brooklyn, NY","$28,590",70%,10:1,"St. Joseph's University (formerly College) in Brooklyn is a private Catholic liberal arts institution. Founded as a women's college in 1916, it adopted coeducation in 1969. Its five-acre campus is located in a residential section of Brooklyn, 5 miles from Midtown Manhattan.",,
St. Joseph's University—Long Island,https://www.collegexpress.com/college/st-josephs-university-long-island/1100037/details/,"Patchogue, NY",,,13:1,"Founded in 1916, St. Joseph's University (formerly College) on Long Island is a private Catholic liberal arts institution. Its 56-acre campus is located in Patchoque, 55 miles from midtown Manhattan.",,
St. Lawrence University,https://www.collegexpress.com/college/st-lawrence-university/1100066/details/,"Canton, NY","$58,330",47%,11:1,"St. Lawrence University, founded in 1856, is a private, liberal arts university. Its 1,000-acre campus is located in Canton, in northern New York.",,
St. Thomas Aquinas College,https://www.collegexpress.com/college/st-thomas-aquinas-college/1100073/details/,"Sparkill, NY","$33,400",86%,16:1,"St. Thomas Aquinas College is a private, liberal arts college. Founded in 1952, it adopted coeducation in 1968. Its 43-acre campus is located in Sparkill, 15 miles from New York City.","4-year, Private not-for-profit",-
Stony Brook University,https://www.collegexpress.com/college/stony-brook-university/1100134/details/,"Stony Brook, NY","$7,070",48%,18:1,"Stony Brook University, State University of New York, founded in 1957, is a public research university. Its 1,040-acre campus is located on the North Shore of Long Island, 60 miles east of New York City","4-year, Public",-
"Studio Jewelers, Ltd.",https://www.collegexpress.com/college/studio-jewelers-ltd/3303335/details/,"New York, NY",,,,"Studio Jewelers, Ltd. founded in 1979, is a jewelry trade school, located in New York.",,
Suffolk County Community College—Ammerman Campus,https://www.collegexpress.com/college/suffolk-county-community-college-ammerman-campus/3300999/details/,"Selden, NY","$5,470",,,"Suffolk County Community College is a public two-year institution with three campuses in Selden, Brentwood, and Riverhead, New York.",,
Suffolk County Community College—Eastern Campus,https://www.collegexpress.com/college/suffolk-county-community-college-eastern-campus/3303910/details/,"Riverhead, NY","$5,220",,,"Suffolk County Community College is a public two-year institution with three campuses in Riverhead,  Brentwood, and Selden, New York.",,
Suffolk County Community College—Grant Campus,https://www.collegexpress.com/college/suffolk-county-community-college-grant-campus/3303909/details/,"Brentwood, NY","$5,220",,,"Suffolk County Community College is a public two-year institution with three campuses in Brentwood, Riverhead, and Selden, New York.",,
SUNY Adirondack,https://www.collegexpress.com/college/suny-adirondack/3301630/details/,"Queensbury, NY","$4,944",,20:1,"Founded in 1961, SUNY Adirondack is a public community liberal arts college. Its campus is located in Queensbury, New York.","2-year, Public",-
SUNY Brockport,https://www.collegexpress.com/college/suny-brockport/1100135/details/,"Brockport, NY","$7,070",58%,17:1,"SUNY Brockport, founded in 1835, is a public, comprehensive four-year college. Its 464-acre campus is located in Brockport, NY: 16 miles west of Rochester, NY, 45 miles east of Buffalo, NY, and a short drive from the Canadian border.","4-year, Public",-
SUNY Broome Community College,https://www.collegexpress.com/college/suny-broome-community-college/3300955/details/,"Binghamton, NY","$5,088",,,"Broome Community College is a public, comprehensive community college supervised the the State University of New York, sponsored by the County of Broome, and governed by a Board of Trustees. Chartered in 1946 Broome Community College's 220-acre campus is located in BInghamton, New York.","2-year, Public",-
SUNY Canton,https://www.collegexpress.com/college/suny-canton/5009129/details/,"Canton, NY","$7,070",83%,18:1,"Founded in 1906, SUNY Canton is a public coeducational residential college located on a 555-acre campus along the banks of the Grasse River in Canton, New York.",,
SUNY Cobleskill,https://www.collegexpress.com/college/suny-cobleskill/3000130/details/,"Cobleskill, NY","$7,070",80%,16:1,"Founded in 1911, SUNY Cobleskill is a public polytechnic college with a rich academic tradition spanning over 100 years. Over 2,300 students are enrolled in the 58 certificate, associate, and baccalaureate degree programs offered.  Its 902-acre campus is located in Cobleskill, 35 miles from Albany.",,
SUNY College of Environmental Science and Forestry,https://www.collegexpress.com/college/suny-college-of-environmental-science-and-forestry/1100142/details/,"Syracuse, NY","$7,070",60%,13:1,"SUNY College of Environmental Science and Forestry, founded in 1911, is a public, multipurpose college. Its 12-acre campus is located in Syracuse.","4-year, Public",-
SUNY Corning Community College,https://www.collegexpress.com/college/suny-corning-community-college/3300983/details/,"Corning, NY","$5,068",,,"Corning Community College, founded in 1956, is a public, coeducational, two-year institution. Its campus is located in Corning, NY.","2-year, Public",-
SUNY Cortland,https://www.collegexpress.com/college/suny-cortland/1100140/details/,"Cortland, NY","$7,070",52%,16:1,"SUNY Cortland, founded in 1868, is a public, multipurpose college of arts and sciences. Its 191-acre campus is located in Cortland, 30 miles from Syracuse.",,
SUNY Delhi,https://www.collegexpress.com/college/suny-delhi/3300952/details/,"Delhi, NY","$7,070",64%,15:1,"SUNY--Delhi, founded in 1913, is a public, coeducational institution offering degrees ranging from the Certificate to Master's level.  Its campus is located in Delhi, New York.",,
SUNY Empire State College,https://www.collegexpress.com/college/suny-empire-state-college/3000011/details/,"Saratoga Springs, NY","$7,070",,15:1,"SUNY Empire State College, founded in 1971, is a public, coeducational institution. Its campus is located in Saratoga Springs, New York.",,
SUNY Fredonia,https://www.collegexpress.com/college/suny-fredonia/1100143/details/,"Fredonia, NY","$7,070",72%,14:1,"State University of New York at Fredonia is a public comprehensive selective liberal arts university in western New York, just minutes from Lake Erie. Founded in 1826, the university is among the oldest in the SUNY system.",,
SUNY Geneseo,https://www.collegexpress.com/college/suny-geneseo/1100146/details/,"Geneseo, NY","$7,070",61%,17:1,"SUNY Geneseo, founded in 1871, is a public, multipurpose college of liberal arts and sciences. Its 220-acre campus is located in Geneseo, NY, 30 miles south of Rochester.",,
SUNY Maritime College,https://www.collegexpress.com/college/suny-maritime-college/1100167/details/,"Throggs Neck, NY","$7,070",72%,,"SUNY Maritime College, founded in 1874, is a public, multipurpose college for the maritime and related industries. Its 56-acre campus is located in Throggs Neck.","4-year, Public",-
SUNY Morrisville,https://www.collegexpress.com/college/suny-morrisville/5009395/details/,"Morrisville, NY","$7,070",,,"SUNY Morrisville, founded in 1908, is a public, coeducational institution. Its campus is located in Morrisville, NY.","4-year, primarily associate's, Public",-
SUNY New Paltz,https://www.collegexpress.com/college/suny-new-paltz/1100148/details/,"New Paltz, NY","$7,070",62%,16:1,"Founded in 1828, SUNY New Paltz is a public multipurpose institution of arts and sciences. Its 216-acre campus is located in New Paltz, 75 miles from Albany.",,
SUNY Old Westbury,https://www.collegexpress.com/college/suny-old-westbury/1100149/details/,"Old Westbury, NY","$7,070",53%,18:1,"SUNY College at Old Westbury, founded in 1965, is a comprehensive public college offering undergraduate and graduate degrees. With a wooded 604-acre campus centrally located on Long Island, the nation's 17th largest population center, Old Westbury offers the best of both worlds -- a quiet atmosphere dedicated to learning, yet just 20 miles from the heart of New York City.","4-year, Public",-
SUNY Oneonta,https://www.collegexpress.com/college/suny-oneonta/1100151/details/,"Oneonta, NY","$7,070",62%,17:1,"SUNY Oneonta, founded in 1889, is a public, multipurpose university of liberal arts and sciences. Its 250-acre campus is located in Oneonta, 75 miles southwest of Albany.","4-year, Public",-
SUNY Oswego,https://www.collegexpress.com/college/suny-oswego/1100153/details/,"Oswego, NY","$7,070",68%,17:1,"SUNY Oswego, founded in 1861, is a public, multipurpose college of arts and sciences. Its 696-acre campus is located in Oswego, 35 miles northwest of Syracuse, on the shore of Lake Ontario.",,
SUNY Plattsburgh,https://www.collegexpress.com/college/suny-plattsburgh/1100155/details/,"Plattsburgh, NY","$7,070",61%,16:1,"SUNY Plattsburgh, founded in 1889, is a public, multipurpose college of arts and sciences. Its 300-acre campus is located in Plattsburgh, 60 miles from Montreal, Canada.",,
SUNY Polytechnic Institute,https://www.collegexpress.com/college/suny-polytechnic-institute/1100163/details/,"Utica and Albany, NY","$7,070",73%,13:1,"SUNY Polytechnic Institute, founded in 1966, is a public institute of technology. It has campuses in Utica and Albany, New York.","4-year, Public",-
SUNY Potsdam,https://www.collegexpress.com/college/suny-potsdam/1100159/details/,"Potsdam, NY","$7,070",71%,11:1,"SUNY Potsdam, founded in 1816, is a public, liberal arts college. Its 240-acre campus is located in Potsdam NY, north of Syracuse.",,
SUNY Sullivan,https://www.collegexpress.com/college/suny-sullivan/3301000/details/,"Loch Sheldrake, NY","$5,208",,18:1,"Sullivan County Community College, founded in 1963, is a public two-year institution. Its 405-acre campus is located in Loch Sheldrake, NY.",,
SUNY Ulster,https://www.collegexpress.com/college/suny-ulster/3303908/details/,"Stone Ridge, NY","$4,880",,,"SUNY Ulster is a public two-year institution. Its campus is located in Stone Ridge, NY.",,
SUNY Upstate Medical University,https://www.collegexpress.com/college/suny-upstate-medical-university/1100169/details/,"Syracuse, NY",,,,"SUNY Upstate Medical University, founded in 1950, is a public, comprehensive institution. Its 30-acre campus is located in downtown Syracuse.",,
Syracuse University,https://www.collegexpress.com/college/syracuse-university/1100182/details/,"Syracuse, NY","$54,270",68%,,"Syracuse University, founded in 1870, is a private, coeducational institution. Its 708-acre campus is located in Syracuse.  The University's original colors were pink and pea green. Orange became the official color in 1890.","4-year, Private not-for-profit",-
"The City College of New York, CUNY",https://www.collegexpress.com/college/the-city-college-of-new-york-cuny/2100313/details/,"New York, NY","$6,930",50%,10:1,"Founded in 1847 as the Free Academy, the City College of New York is a public institution and the first of City University of New York schools. Programs are offered through the College of Liberal Arts and Science and the Schools of Architecture, Education, and Engineering, and the Division of the Arts. Its 35-acre campus of Gothic and modern architecture is located in New York's St. Nicholas Heights section.",,
The College of Saint Rose,https://www.collegexpress.com/college/the-college-of-saint-rose/1100072/details/,"Albany, NY","$33,152",81%,14:1,"The College of Saint Rose, founded in 1920, is a private, independent, coeducational institution of higher education offering more than 100 bachelor's, master's, and certificate degree programs. The College serves undergraduate and graduate students, working professionals, international students, and more. Its 49-acre campus is located in Albany, New York.","4-year, Private not-for-profit",-
"The College of Staten Island, CUNY",https://www.collegexpress.com/college/the-college-of-staten-island-cuny/2100312/details/,"Staten Island, NY","$6,930",,19:1,"Formed in 1976 through the merger of Staten Island Community College and Richmond College, The College of Staten Island is a public liberal arts college. Its 204-acre campus is located in Staten Island, a borough of New York City.",,
The College of Westchester,https://www.collegexpress.com/college/the-college-of-westchester/3101096/details/,"White Plains, NY","$21,060",88%,,"The College of Westchester, founded in 1915, is a coeducation, private college providing students with an education in diverse community and preparing them for professional careers. It's campus is located in White Plains, New York.","4-year, primarily associate's, Private for-profit",-
The Cooper Union for the Advancement of Science and Art,https://www.collegexpress.com/college/the-cooper-union-for-the-advancement-of-science-and-art/1100301/details/,"New York, NY","$44,550",17%,6:1,"The Cooper Union for the Advancement of Science and Art, founded in 1859, is a private, multipurpose institution located in lower Manhattan.","4-year, Private not-for-profit",-
The Culinary Institute of America at Hyde Park,https://www.collegexpress.com/college/the-culinary-institute-of-america-at-hyde-park/3000320/details/,"Hyde Park, NY","$32,000",96%,18:1,"The Culinary Institute of America (CIA), founded in 1946, is an independent, non-profit, specialized college. Its 172-acre main campus is located in New York (Hyde Park).",,
The King's College,https://www.collegexpress.com/college/the-kings-college/3000468/details/,"New York, NY","$37,000",39%,,"The King's College, founded in 1938 and reorganized in 1999, is a private Christian college. Its campus is located in New York.",,
The New School Center for Media,https://www.collegexpress.com/college/the-new-school-center-for-media/3101053/details/,"Albany, NY",,,,"The New School Center for Media (formerly The New School of Radio and Television), is a private, specialized institution. Its campus is located in Albany.",,
The New School College of Performing Arts,https://www.collegexpress.com/college/the-new-school-college-of-performing-arts/5003739/details/,"New York, NY","$48,760",49%,7:1,"The New School College of Performing Arts is a private coeducational institution that consists of three schools: the Mannes School of Music, the School of Drama, and the School of Jazz & Contemporary Music. Its campus is located in New York City.",,
The New School for Public Engagement,https://www.collegexpress.com/college/the-new-school-for-public-engagement/4000869/details/,"New York, NY","$31,742",,,"The New School for Public Engagement, founded in 1919, is a private, coeducational institution. Its campus is located in New York.",,
The New York Conservatory for Dramatic Arts School of Film and Television,https://www.collegexpress.com/college/the-new-york-conservatory-for-dramatic-arts-school-of-film-and-television/3303885/details/,"New York, NY","$33,900",95%,,"The New York Conservatory for Dramatic Arts is an institutionally accredited member of The National Association of Schools of Theatre (NAST), located in the heart of New York City.",,
The State University of New York Recruitment Response Center,https://www.collegexpress.com/college/the-state-university-of-new-york-recruitment-response-center/5006301/details/,"Albany, NY",,,,"The State University of New York, SUNY for short, university system is home to 64 colleges across the state of New York. It's university system administration building is located in Albany.",,
Tompkins Cortland Community College,https://www.collegexpress.com/college/tompkins-cortland-community-college/3300969/details/,"Dryden, NY","$5,355",,,"Founded in 1968, Tompkins Cortland Community College is a public two-year liberal arts institution. Its 220-acre campus is located in Dryden, NY.","2-year, Public",-
Touro College,https://www.collegexpress.com/college/touro-college/1100199/details/,"New York, NY","$19,950",75%,13:1,"Touro College in New York, founded in 1971, is a private college part of the Touro College and University System, the largest not-for-profit independent institution of higher and professional education under Jewish auspices in the country. Its urban campus is located in downtown Manhattan.",,
